method,missing_mode,missing_rate,repeat,rmse
18_MLP神经网络,MCAR,0.3,2,0.4351775689859094
19_迭代插补_贝叶斯,MCAR,0.3,2,0.44916922562332334
20_迭代插补_随机树,MCAR,0.3,2,0.3919475320577895
01_均值填充,MCAR,0.3,3,0.5361450343437508
02_中位数填充,MCAR,0.3,3,0.5252326683485424
03_KNN填充_k3,MCAR,0.3,3,0.5968878779278532
04_KNN填充_k5,MCAR,0.3,3,0.5373366895991556
05_线性回归,MCAR,0.3,3,0.4869922039074371
06_岭回归,MCAR,0.3,3,0.48787809901855306
07_Lasso,MCAR,0.3,3,0.539516541233108
08_ElasticNet,MCAR,0.3,3,0.5142389066328339
09_贝叶斯岭回归,MCAR,0.3,3,0.5175686845036427
10_决策树,MCAR,0.3,3,0.4602509698818621
11_随机森林,MCAR,0.3,3,0.48310706254005137
12_极端随机树,MCAR,0.3,3,0.48457403201454197
13_GradientBoosting,MCAR,0.3,3,0.49993439303880494
14_AdaBoost,MCAR,0.3,3,0.4631744398438997
15_SVR_rbf,MCAR,0.3,3,0.4644985121428797
16_KNN回归_k3,MCAR,0.3,3,0.6077640937974302
17_KNN回归_k5,MCAR,0.3,3,0.5069602848836653
18_MLP神经网络,MCAR,0.3,3,0.44558341425045955
19_迭代插补_贝叶斯,MCAR,0.3,3,0.5036828425795796
20_迭代插补_随机树,MCAR,0.3,3,0.5392714183144228
01_均值填充,MCAR,0.3,4,0.5216767393015799
02_中位数填充,MCAR,0.3,4,0.5195782958285426
03_KNN填充_k3,MCAR,0.3,4,0.41277884311581836
04_KNN填充_k5,MCAR,0.3,4,0.3877782445390406
05_线性回归,MCAR,0.3,4,0.49139764739213726
06_岭回归,MCAR,0.3,4,0.49103235445136795
07_Lasso,MCAR,0.3,4,0.5086367550207529
08_ElasticNet,MCAR,0.3,4,0.4942329129703056
09_贝叶斯岭回归,MCAR,0.3,4,0.4918681751259137
10_决策树,MCAR,0.3,4,0.4328627106747656
11_随机森林,MCAR,0.3,4,0.4350009393911992
12_极端随机树,MCAR,0.3,4,0.40838016314084913
13_GradientBoosting,MCAR,0.3,4,0.42017241907896347
14_AdaBoost,MCAR,0.3,4,0.4328606316866578
15_SVR_rbf,MCAR,0.3,4,0.42878140559164024
16_KNN回归_k3,MCAR,0.3,4,0.42068220673150347
17_KNN回归_k5,MCAR,0.3,4,0.42379049897246995
18_MLP神经网络,MCAR,0.3,4,0.4617145186501084
19_迭代插补_贝叶斯,MCAR,0.3,4,0.5046160945480287
20_迭代插补_随机树,MCAR,0.3,4,0.42404184306722853
01_均值填充,MCAR,0.3,5,0.5612834575630516
02_中位数填充,MCAR,0.3,5,0.5494207338022206
03_KNN填充_k3,MCAR,0.3,5,0.5580539420996269
04_KNN填充_k5,MCAR,0.3,5,0.5857003238136532
05_线性回归,MCAR,0.3,5,0.531628545178946
06_岭回归,MCAR,0.3,5,0.5319940210553805
07_Lasso,MCAR,0.3,5,0.5528942272769323
08_ElasticNet,MCAR,0.3,5,0.5417457706795769
09_贝叶斯岭回归,MCAR,0.3,5,0.5398791207137226
10_决策树,MCAR,0.3,5,0.4629367690382433
11_随机森林,MCAR,0.3,5,0.4957369722719869
12_极端随机树,MCAR,0.3,5,0.5259041754637669
13_GradientBoosting,MCAR,0.3,5,0.4546531296601099
14_AdaBoost,MCAR,0.3,5,0.6114622568769325
15_SVR_rbf,MCAR,0.3,5,0.5601618714934553
16_KNN回归_k3,MCAR,0.3,5,0.6129542913214531
17_KNN回归_k5,MCAR,0.3,5,0.548114161273188
18_MLP神经网络,MCAR,0.3,5,0.5618513145204832
19_迭代插补_贝叶斯,MCAR,0.3,5,0.5360035141060239
20_迭代插补_随机树,MCAR,0.3,5,0.5429229991553781
01_均值填充,MCAR,0.4,1,0.5183876867613318
02_中位数填充,MCAR,0.4,1,0.5145045806976707
03_KNN填充_k3,MCAR,0.4,1,0.515088072948588
04_KNN填充_k5,MCAR,0.4,1,0.4829094227193593
05_线性回归,MCAR,0.4,1,0.4896688907391248
06_岭回归,MCAR,0.4,1,0.4901685531533877
07_Lasso,MCAR,0.4,1,0.5124053137916446
08_ElasticNet,MCAR,0.4,1,0.49872324763088377
09_贝叶斯岭回归,MCAR,0.4,1,0.5023227899950767
10_决策树,MCAR,0.4,1,0.49058616593204984
11_随机森林,MCAR,0.4,1,0.46351124531822196
12_极端随机树,MCAR,0.4,1,0.5081659450005359
13_GradientBoosting,MCAR,0.4,1,0.4771409722465269
14_AdaBoost,MCAR,0.4,1,0.43899208370513065
15_SVR_rbf,MCAR,0.4,1,0.4921419936892631
16_KNN回归_k3,MCAR,0.4,1,0.47203516405963836
17_KNN回归_k5,MCAR,0.4,1,0.4840305088274117
18_MLP神经网络,MCAR,0.4,1,0.516423337567174
19_迭代插补_贝叶斯,MCAR,0.4,1,0.5058088571995611
20_迭代插补_随机树,MCAR,0.4,1,0.49833841230805387
01_均值填充,MCAR,0.4,2,0.46930389347315227
02_中位数填充,MCAR,0.4,2,0.47469189886875945
03_KNN填充_k3,MCAR,0.4,2,0.48046405251759955
04_KNN填充_k5,MCAR,0.4,2,0.4588323123836753
05_线性回归,MCAR,0.4,2,0.4376704365281947
06_岭回归,MCAR,0.4,2,0.43797227987895504
07_Lasso,MCAR,0.4,2,0.45351824342176034
08_ElasticNet,MCAR,0.4,2,0.44504872087605934
09_贝叶斯岭回归,MCAR,0.4,2,0.44534242472708374
10_决策树,MCAR,0.4,2,0.43765489117920464
11_随机森林,MCAR,0.4,2,0.4074439433609939
12_极端随机树,MCAR,0.4,2,0.4512673787512748
13_GradientBoosting,MCAR,0.4,2,0.4451024208297969
14_AdaBoost,MCAR,0.4,2,0.4030744379903175
15_SVR_rbf,MCAR,0.4,2,0.4437757094946873
16_KNN回归_k3,MCAR,0.4,2,0.49299536133822863
17_KNN回归_k5,MCAR,0.4,2,0.40149149294290903
18_MLP神经网络,MCAR,0.4,2,0.4199331292912077
19_迭代插补_贝叶斯,MCAR,0.4,2,0.441316752815237
