method,missing_mode,missing_rate,rmse_mean,rmse_std
17_KNN回归_k5,MAR,0.1,0.44207830046273155,0.06894273920399963
17_KNN回归_k5,MAR,0.2,0.3880324770372829,0.05222379772322741
17_KNN回归_k5,MAR,0.3,0.3800171662074138,0.053944939365514775
17_KNN回归_k5,MAR,0.4,0.4418749885560592,0.02046674581187152
17_KNN回归_k5,MAR,0.5,0.4511169407460603,0.027683256010892693
17_KNN回归_k5,MCAR,0.1,0.4510363091120958,0.16211558484722086
17_KNN回归_k5,MCAR,0.2,0.4705417625786946,0.09272688399728712
17_KNN回归_k5,MCAR,0.3,0.4822283324936311,0.048218698545415696
17_KNN回归_k5,MCAR,0.4,0.44955299320095116,0.03790166724594294
17_KNN回归_k5,MCAR,0.5,0.4381228094461448,0.03869454621567241
17_KNN回归_k5,MNAR,0.1,0.5473783585636814,0.11367491510764727
17_KNN回归_k5,MNAR,0.2,0.5817626700244378,0.07004639352384348
17_KNN回归_k5,MNAR,0.3,0.6114566179683147,0.03629554524128887
17_KNN回归_k5,MNAR,0.4,0.8908504815299251,0.0
17_KNN回归_k5,MNAR,0.5,0.8299914302247225,0.011603799376874896
18_MLP神经网络,MAR,0.1,0.4402952960761066,0.09881670199609172
18_MLP神经网络,MAR,0.2,0.43528183430483985,0.04562893983995869
18_MLP神经网络,MAR,0.3,0.4113815356771225,0.04118726175908311
18_MLP神经网络,MAR,0.4,0.4819242806506489,0.023292818187117124
18_MLP神经网络,MAR,0.5,0.4848620561055035,0.024135747961434875
18_MLP神经网络,MCAR,0.1,0.4662555794226854,0.13456605902319227
18_MLP神经网络,MCAR,0.2,0.4896936235840606,0.10001064464890086
18_MLP神经网络,MCAR,0.3,0.4853352546676396,0.05449472452477525
18_MLP神经网络,MCAR,0.4,0.4663124007946962,0.04797876153587615
18_MLP神经网络,MCAR,0.5,0.4644264957988099,0.04151293038243405
18_MLP神经网络,MNAR,0.1,0.6295300902458363,0.03840596326198581
18_MLP神经网络,MNAR,0.2,0.6202156692321348,0.0899133699047459
18_MLP神经网络,MNAR,0.3,0.6418236532707278,0.04065397835368526
18_MLP神经网络,MNAR,0.4,0.8384111255137447,0.0
18_MLP神经网络,MNAR,0.5,0.7895376053168348,0.01918975167384621
19_迭代插补_贝叶斯,MAR,0.1,0.44162455964461217,0.10569588917444601
19_迭代插补_贝叶斯,MAR,0.2,0.44351195468639804,0.054360511853369375
19_迭代插补_贝叶斯,MAR,0.3,0.42292104581174383,0.030508848671004136
19_迭代插补_贝叶斯,MAR,0.4,0.47374283607085166,0.024064636529951364
19_迭代插补_贝叶斯,MAR,0.5,0.4850995540412121,0.018163311191460432
19_迭代插补_贝叶斯,MCAR,0.1,0.47694775924742655,0.10977979607577874
19_迭代插补_贝叶斯,MCAR,0.2,0.48285053489749996,0.08451648893990746
19_迭代插补_贝叶斯,MCAR,0.3,0.49494565555733877,0.03216549133014818
19_迭代插补_贝叶斯,MCAR,0.4,0.4775874073417108,0.03147579102922622
19_迭代插补_贝叶斯,MCAR,0.5,0.47873279101319016,0.03076679701189372
19_迭代插补_贝叶斯,MNAR,0.1,0.6483561243142106,0.035863443894065046
19_迭代插补_贝叶斯,MNAR,0.2,0.6405795815318043,0.06755408588807768
19_迭代插补_贝叶斯,MNAR,0.3,0.6476686855058963,0.011410373072767235
19_迭代插补_贝叶斯,MNAR,0.4,0.9143430434855467,0.0
19_迭代插补_贝叶斯,MNAR,0.5,0.8497151284201818,0.015098827810662805
20_迭代插补_随机树,MAR,0.1,0.4734708513474444,0.06659118135816276
20_迭代插补_随机树,MAR,0.2,0.4481426471226527,0.06493179510618313
20_迭代插补_随机树,MAR,0.3,0.43666859972428435,0.02481798479934063
20_迭代插补_随机树,MAR,0.4,0.464836734325779,0.016324106447764795
20_迭代插补_随机树,MAR,0.5,0.48701279763766614,0.04746532622553785
20_迭代插补_随机树,MCAR,0.1,0.4603081654490107,0.08825556916871145
20_迭代插补_随机树,MCAR,0.2,0.47800494350359096,0.09589582341729436
20_迭代插补_随机树,MCAR,0.3,0.47763335254916195,0.06787601174566477
20_迭代插补_随机树,MCAR,0.4,0.4589959777517307,0.03665993774498665
20_迭代插补_随机树,MCAR,0.5,0.4501906826784651,0.03434367765224935
20_迭代插补_随机树,MNAR,0.1,0.5290128602468908,0.061748495203918605
20_迭代插补_随机树,MNAR,0.2,0.5241621693111073,0.033081670628545064
20_迭代插补_随机树,MNAR,0.3,0.5040210398325795,0.030878031669233405
20_迭代插补_随机树,MNAR,0.4,0.8398646115001555,0.0
20_迭代插补_随机树,MNAR,0.5,0.8290568038626303,0.0331473524369201
